--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:19:44 2025
--------------------------------------------------------------------------------
 {'name': 'loginwindow', 'pid': 377, 'username': 'root', 'vms': 402488.140625} 
 {'name': 'seserviced', 'pid': 743, 'username': 'devashish', 'vms': 416911.96875} 


 {'name': 'commerce', 'pid': 746, 'username': 'devashish', 'vms': 416949.65625} 


 {'name': 'mdbulkimport', 'pid': 814, 'username': 'devashish', 'vms': 416954.59375} 


 {'name': 'duetexpertd', 'pid': 862, 'username': 'devashish', 'vms': 416989.75} 


 {'name': 'AppleSpell', 'pid': 953, 'username': 'devashish', 'vms': 417688.890625} 


 {'name': 'spotlightknowledged', 'pid': 1006, 'username': 'devashish', 'vms': 404146.71875} 


 {'name': 'Code Helper (Renderer)', 'pid': 1213, 'username': 'devashish', 'vms': 1834916.953125} 


 {'name': 'mdwrite', 'pid': 1879, 'username': 'devashish', 'vms': 416944.1875} 


 {'name': 'IMAutomaticHistoryDeletionAgent', 'pid': 3420, 'username': 'devashish', 'vms': 416944.390625} 


 {'name': 'parsecd', 'pid': 6903, 'username': 'devashish', 'vms': 416948.828125} 


 {'name': 'itunescloudd', 'pid': 6904, 'username': 'devashish', 'vms': 416949.421875} 


 {'name': 'Google Chrome', 'pid': 7012, 'username': 'devashish', 'vms': 467126.328125} 


 {'name': 'chrome_crashpad_handler', 'pid': 7026, 'username': 'devashish', 'vms': 433293.734375} 


 {'name': 'Google Chrome Helper (GPU)', 'pid': 7030, 'username': 'devashish', 'vms': 434075.734375} 


 {'name': 'Google Chrome Helper', 'pid': 7031, 'username': 'devashish', 'vms': 433935.546875} 


 {'name': 'Google Chrome Helper', 'pid': 7032, 'username': 'devashish', 'vms': 433778.28125} 


 {'name': 'Google Chrome Helper', 'pid': 7066, 'username': 'devashish', 'vms': 433773.296875} 


 {'name': 'Google Chrome Helper (Plugin)', 'pid': 7067, 'username': 'devashish', 'vms': 433820.25} 


 {'name': 'ScopedBookmarkAgent', 'pid': 7096, 'username': 'devashish', 'vms': 416953.96875} 


 {'name': 'com.apple.SiriTTSService.TrialProxy', 'pid': 7268, 'username': 'devashish', 'vms': 401035.390625} 


 {'name': 'deleted', 'pid': 7315, 'username': 'devashish', 'vms': 416954.84375} 


 {'name': 'secinitd', 'pid': 7327, 'username': 'devashish', 'vms': 416953.953125} 


 {'name': 'spotlightknowledged', 'pid': 9353, 'username': 'devashish', 'vms': 417129.96875} 


 {'name': 'intelligenceplatformd', 'pid': 9570, 'username': 'devashish', 'vms': 416946.375} 


 {'name': 'com.apple.Safari.SafeBrowsing.Service', 'pid': 9590, 'username': 'devashish', 'vms': 416965.28125} 


 {'name': 'ReportCrash', 'pid': 9592, 'username': 'devashish', 'vms': 416907.25} 


 {'name': 'photoanalysisd', 'pid': 9595, 'username': 'devashish', 'vms': 417019.84375} 


 {'name': 'XProtect', 'pid': 9640, 'username': 'devashish', 'vms': 401031.1875} 


 {'name': 'tipsd', 'pid': 9642, 'username': 'devashish', 'vms': 416951.875} 


 {'name': 'cloudphotod', 'pid': 9678, 'username': 'devashish', 'vms': 416947.203125} 


 {'name': 'contactsdonationagent', 'pid': 9684, 'username': 'devashish', 'vms': 416950.453125} 


 {'name': 'siriknowledged', 'pid': 9719, 'username': 'devashish', 'vms': 416952.296875} 


