***********************************
Information of currently runnning processes
***********************************
{'pid': 1879, 'username': 'devashish', 'name': 'mdwrite', 'vms': 416944.1875}
{'pid': 3420, 'username': 'devashish', 'name': 'IMAutomaticHistoryDeletionAgent', 'vms': 416944.390625}
{'pid': 6903, 'username': 'devashish', 'name': 'parsecd', 'vms': 416948.828125}
{'pid': 6904, 'username': 'devashish', 'name': 'itunescloudd', 'vms': 416949.421875}
{'pid': 7012, 'username': 'devashish', 'name': 'Google Chrome', 'vms': 467126.328125}
{'pid': 7026, 'username': 'devashish', 'name': 'chrome_crashpad_handler', 'vms': 433293.734375}
{'pid': 7030, 'username': 'devashish', 'name': 'Google Chrome Helper (GPU)', 'vms': 434075.734375}
{'pid': 7031, 'username': 'devashish', 'name': 'Google Chrome Helper', 'vms': 433935.546875}
{'pid': 7032, 'username': 'devashish', 'name': 'Google Chrome Helper', 'vms': 433778.28125}
{'pid': 7066, 'username': 'devashish', 'name': 'Google Chrome Helper', 'vms': 433773.296875}
{'pid': 7067, 'username': 'devashish', 'name': 'Google Chrome Helper (Plugin)', 'vms': 433820.25}
{'pid': 7096, 'username': 'devashish', 'name': 'ScopedBookmarkAgent', 'vms': 416953.96875}
{'pid': 7268, 'username': 'devashish', 'name': 'com.apple.SiriTTSService.TrialProxy', 'vms': 401035.390625}
{'pid': 7315, 'username': 'devashish', 'name': 'deleted', 'vms': 416954.84375}
{'pid': 7327, 'username': 'devashish', 'name': 'secinitd', 'vms': 416953.953125}
{'pid': 9353, 'username': 'devashish', 'name': 'spotlightknowledged', 'vms': 417129.96875}
{'pid': 9570, 'username': 'devashish', 'name': 'intelligenceplatformd', 'vms': 416946.375}
{'pid': 9590, 'username': 'devashish', 'name': 'com.apple.Safari.SafeBrowsing.Service', 'vms': 416965.28125}
{'pid': 9592, 'username': 'devashish', 'name': 'ReportCrash', 'vms': 416907.25}
{'pid': 9595, 'username': 'devashish', 'name': 'photoanalysisd', 'vms': 417019.84375}
{'pid': 9640, 'username': 'devashish', 'name': 'XProtect', 'vms': 401031.1875}
{'pid': 9642, 'username': 'devashish', 'name': 'tipsd', 'vms': 416951.875}
{'pid': 9678, 'username': 'devashish', 'name': 'cloudphotod', 'vms': 416947.203125}
{'pid': 9684, 'username': 'devashish', 'name': 'contactsdonationagent', 'vms': 416950.453125}
{'pid': 9719, 'username': 'devashish', 'name': 'siriknowledged', 'vms': 416952.296875}
{'pid': 9724, 'username': 'devashish', 'name': 'sirittsd', 'vms': 417306.3125}
{'pid': 9741, 'username': 'devashish', 'name': 'promotedcontentd', 'vms': 416951.953125}
{'pid': 9742, 'username': 'devashish', 'name': 'MTLAssetUpgraderD', 'vms': 416944.0}
