--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:58:58 2025
--------------------------------------------------------------------------------
 {'pid': 377, 'name': 'loginwindow', 'username': 'root', 'vms': 402489.78125} 
 {'pid': 743, 'name': 'seserviced', 'username': 'devashish', 'vms': 416911.96875} 


 {'pid': 746, 'name': 'commerce', 'username': 'devashish', 'vms': 416949.65625} 


 {'pid': 814, 'name': 'mdbulkimport', 'username': 'devashish', 'vms': 416954.59375} 


 {'pid': 862, 'name': 'duetexpertd', 'username': 'devashish', 'vms': 416989.75} 


 {'pid': 953, 'name': 'AppleSpell', 'username': 'devashish', 'vms': 417688.890625} 


 {'pid': 1006, 'name': 'spotlightknowledged', 'username': 'devashish', 'vms': 404146.71875} 


 {'pid': 1213, 'name': 'Code Helper (Renderer)', 'username': 'devashish', 'vms': 1839913.890625} 


 {'pid': 1879, 'name': 'mdwrite', 'username': 'devashish', 'vms': 416944.1875} 


 {'pid': 3420, 'name': 'IMAutomaticHistoryDeletionAgent', 'username': 'devashish', 'vms': 416944.390625} 


 {'pid': 6903, 'name': 'parsecd', 'username': 'devashish', 'vms': 416948.828125} 


 {'pid': 6904, 'name': 'itunescloudd', 'username': 'devashish', 'vms': 416949.421875} 


 {'pid': 7096, 'name': 'ScopedBookmarkAgent', 'username': 'devashish', 'vms': 416953.96875} 


 {'pid': 7315, 'name': 'deleted', 'username': 'devashish', 'vms': 416954.84375} 


 {'pid': 7327, 'name': 'secinitd', 'username': 'devashish', 'vms': 416953.953125} 


 {'pid': 9353, 'name': 'spotlightknowledged', 'username': 'devashish', 'vms': 417129.96875} 


 {'pid': 9570, 'name': 'intelligenceplatformd', 'username': 'devashish', 'vms': 416946.375} 


 {'pid': 9590, 'name': 'com.apple.Safari.SafeBrowsing.Service', 'username': 'devashish', 'vms': 416965.28125} 


 {'pid': 9592, 'name': 'ReportCrash', 'username': 'devashish', 'vms': 416907.25} 


 {'pid': 9595, 'name': 'photoanalysisd', 'username': 'devashish', 'vms': 417019.84375} 


 {'pid': 9640, 'name': 'XProtect', 'username': 'devashish', 'vms': 401031.1875} 


 {'pid': 9642, 'name': 'tipsd', 'username': 'devashish', 'vms': 416951.875} 


 {'pid': 9678, 'name': 'cloudphotod', 'username': 'devashish', 'vms': 416947.203125} 


 {'pid': 9684, 'name': 'contactsdonationagent', 'username': 'devashish', 'vms': 416950.453125} 


 {'pid': 9719, 'name': 'siriknowledged', 'username': 'devashish', 'vms': 416952.296875} 


 {'pid': 9724, 'name': 'sirittsd', 'username': 'devashish', 'vms': 417306.3125} 


 {'pid': 9741, 'name': 'promotedcontentd', 'username': 'devashish', 'vms': 416951.953125} 


